'GENE,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,"10,000 cell Rep1 (P1)","10,000 cell Rep2 (P2)","10,000 cell Rep3 (P3)",Gene Category
'1110004F10RIK,121.532984,92.05393616,306.5489026,202.7114843,207.8353169,171.2716284,0.100333038,245.3181607,213.3236778,488.6268679,64.09915445,131.5958325,470.7552284,148.3231595,0.319308735,185.2787023,0.110841068,126.4987415,140.7991176,124.0380701,129.486858,
'1110005A03RIK,70.94239335,0.224892264,0,0.09731598,0.743908211,0.098570492,0.150756211,32.87026719,0.266991513,9.800629004,0,0,0,0.439371263,0,34.5879122,2.115568507,58.64211001,16.83582141,21.51589249,33.4670929,
'1110006O24RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784978239,0,0,
'1110007C09RIK,3.094924282,0.20519634,0.143784841,1.243196331,3.897247337,0,0,0.180132463,26.58699281,5.887624428,0.594129345,0.405225104,0.655906251,0.194771447,9.141586952,0,0,0.163564913,218.587517,231.4705066,229.8206391,
'1110008F13RIK,0,0,11.03012303,45.82698325,0,21.29376048,31.17447687,0,17.92134901,0,0.875651785,0,0,0.143535453,0.146351177,0,0.305118445,0.12003017,32.84633469,31.43114524,39.92949919,
'1110008J03RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165966091,1.102805465,0.967238805,
'1110008L16RIK,0,0,0,0,0,0,0,0,0,0,0,0,7.960937449,0,0,0.057210057,0,0,1.792204648,0.625664947,2.075468714,
'1110008P14RIK,0,0.522118892,0,0,0,0,4.763298437,0.229261084,0.284402144,0,0,0,0,0,0.252783081,18.30473595,0,0,66.95015582,69.57238163,67.66003657,
'1110012D08RIK,2.691378798,0,0.044744733,0,0,0,3.673803211,0,0,0.056393151,0,0,0,0,0,0,0,0,2.488264478,1.253028351,7.356786607,
'1110012J17RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1110012L19RIK,38.98707982,0.149957011,0,0,0,158.5180898,0.136913814,0,0,0,0,0,0,0,0,0,0,98.63790701,8.886043477,8.331716527,12.01215945,
'1110014N23RIK,0,0,0,0.048695655,0,4.376636717,19.77030516,0,0.864668524,0,0,0,0.088722794,0,0,2.463919162,0,0,21.21673114,19.719112,24.2078852,
'1110017F19RIK,0,0,0,0,0.231521973,9.259181001,0,0,0,0,0,21.76637155,0,0,0,0,0,0,0,0,1.055591929,
'1110018G07RIK,39.91276118,77.38800694,0,14.17405914,18.72867753,0,47.51948229,19.80080173,0.031598941,0,1.92277862,0,0,0,76.0251751,21.54290654,0,0.045846645,5.470673821,6.901823042,5.864439101,LPS Response
'1110018H23RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1110018J18RIK,0.415692416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77090628,9.899596202,15.76788984,
'1110020A21RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
'1110020G09RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317297123,1.083326192,0.887140241,
'1110021J02RIK,0.196615932,0.116752114,0.053903238,0,0.026774471,0.028000144,0.029282651,0.028060793,0,0.032295842,6.227538146,0.309002956,0.041027154,0.078507293,1.743744245,0.066413882,0.083398398,0.05053753,1.431582937,2.302932483,3.700730292,
'1110021L09RIK,0.992266337,1.774010764,0.87548223,1.056725152,0.99181343,0.605356216,0.475533187,1.064844551,1.007096719,0.801636393,1.580366361,7.628588168,1.637422589,1.538658686,1.635261904,2.213684534,2.70676498,0.9522857,0.075793964,0.192811705,0.060840182,
'1110028C15RIK,0.039543324,0,0.022471289,0.027705418,0.220810863,0.029506056,0,0,0,0,0,0,0.033975433,0.030360173,0,0.587791179,142.493292,0,1.305568984,3.064065378,0.96902007,
'1110031I02RIK,0,0,0,0,0,0,0,0.109833252,0,0.111591582,0,0,0,0,0,0,0,0,7.770286426,10.79055792,8.505610949,
'1110032A03RIK,0,0,0,0,0.062107056,0.07469089,80.6188274,0.445516614,74.75147036,0,0,0,0,0,0,64.37110877,0,0,3.475712574,4.846450211,5.074905553,
'1110032A04RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510740306,0.809192384,
'1110032F04RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.071124651,0.028264583,0.033709327,LPS Response
'1110034A24RIK,0,0,0,0,0,3.744112688,0,0,0,0,0,0,0,0,0,0,0,0,1.487319588,1.785791394,1.241362454,
'1110034B05RIK,0,0.47625703,84.58124301,0.095750628,0,0,0,0,0,0,0,0,0,73.94545429,0,0.248475727,0,0.087472279,14.0063785,13.63283057,13.4606133,
'1110034G24RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616066365,1.525305688,3.191111749,
'1110037F02RIK,0,0.04115719,1.424390424,39.53851617,0,0.054559647,0,0,0.022368102,0.054621778,0.014940439,122.8429312,0.782999869,49.17505237,30.71748598,0.153856869,0.020725294,7.918217284,8.066746202,5.40123014,3.81330883,
'1110038B12RIK,1.081494834,0,86.155962,0,0,30.40256702,33.41291172,0,0,0,0,0,0,0,0.289159997,0.311349129,0,75.18957699,27.13238417,25.40643761,20.68354847,
'1110038D17RIK,6.607434425,5.126741435,6.083592496,1.813710878,6.353842295,2.846894443,3.692331452,24.92534868,4.51564105,8.210634217,5.160049971,21.08496795,12.7761348,4.448603388,6.776817583,14.1076575,8.722367517,2.688667314,6.441020417,5.048330995,6.822342616,
'1110038F14RIK,0,0.159098843,40.97246586,0,0,1.342329208,4.096288905,0,134.82823,47.55024808,0,0,41.40828586,0,195.5213223,0,0,0.126461119,15.28077196,11.09111096,15.32290459,LPS Response
'1110049F12RIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288020616,0.834153477,1.164169702,
'1110051M20RIK,53.50653811,0,0,0,0,0,0,0.07028208,0.087140501,0,0,0,0.044076277,0,0,0,98.53232764,0,5.635913108,6.484764688,1.711771979,
'1110054O05RIK,9.833570791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.376604245,2.334018129,2.732754672,
'1110057K04RIK,33.63253255,192.0090398,108.3250472,0,0.072787339,51.36586891,44.53217046,0.036327337,72.95174841,133.629709,0.109295196,0.121834604,0.130899967,77.59531754,0,7.802283371,0.061898492,34.2386545,19.31625333,24.85736946,23.53563603,
'1110058L19RIK,47.17789378,0.256313055,232.5364489,16.61778848,61.31780224,0.225196076,0.467685203,0,0,198.1726156,0,0,425.1850931,70.49537835,0.496382424,0.267374695,0.259375378,0,48.9632084,45.27086617,39.25976546,
'1110059E24RIK,86.30031852,0,0,0,0,0,0,124.9644943,0,0,0.077945899,0,0,89.73030099,0.104163501,0,0,25.30095698,8.218466192,11.01449093,16.01610714,
'1110059G10RIK,0,0,29.20477878,4.831752852,0,0.038371526,0,0,0.047230816,9.817517689,0,24.19140342,0,0,2.610235972,0,0,0,5.719175238,7.010493219,10.15436853,
