,gene_category
1700080E11RIK,
1700080O16RIK,
1700081L11RIK,
1700084C01RIK,
1700084E18RIK,
1700084J12RIK,
1700086L19RIK,
1700086O06RIK,
1700088E04RIK,
1700090G07RIK,
1700092M07RIK,
1700093K21RIK,
1700094C09RIK,
1700094D03RIK,
1700096J18RIK,
1700096K18RIK,
1700101E01RIK,
1700102P08RIK,
1700106J16RIK,
1700106N22RIK,
1700108F19RIK,
1700108J01RIK,
1700108M19RIK,
1700109F18RIK,
1700109G14RIK,
1700109H08RIK,
1700110M21RIK,
1700111N16RIK,
1700112E06RIK,
1700113H08RIK,
1700113I22RIK,
1700120K04RIK,
1700121N20RIK,
1700123K08RIK,
1700123L14RIK,
1700123O20RIK,
1700125D06RIK,
1700125H20RIK,
1700128F08RIK,
1700129C05RIK,
1810006K21RIK,
1810008A18RIK,
1810009A15RIK,
1810009J06RIK,
1810010D01RIK,
1810010H24RIK,
1810011H11RIK,
1810011O10RIK,
1810012P15RIK,
1810013D10RIK,
1810013L24RIK,
1810014B01RIK,
1810014F10RIK,
1810019J16RIK,
1810020D17RIK,
1810022C23RIK,
1810022K09RIK,
1810024B03RIK,
1810026J23RIK,
1810027O10RIK,
1810029B16RIK,LPS Response
1810030J14RIK,
1810030N24RIK,
1810030O07RIK,
1810031K17RIK,
1810032O08RIK,
1810033B17RIK,
1810037I17RIK,
1810041L15RIK,
1810043G02RIK,
1810043H04RIK,
1810046J19RIK,
1810046K07RIK,
1810048J11RIK,
1810049H13RIK,
1810055G02RIK,
1810058I24RIK,
1810062O18RIK,
1810063B05RIK,
1810063B07RIK,
1810064F22RIK,
1810065E05RIK,
2010000I03RIK,
2010001E11RIK,
2010001M06RIK,
2010001M09RIK,
2010002M12RIK,LPS Response
2010002N04RIK,
2010003K11RIK,
2010003K15RIK,
2010005H15RIK,
2010007H12RIK,
2010011I20RIK,
2010012O05RIK,
2010015L04RIK,
2010016I18RIK,
2010106E10RIK,
2010106G01RIK,
2010107E04RIK,
2010107G12RIK,
2010107G23RIK,
2010107H07RIK,
2010109I03RIK,
2010109K11RIK,
2010110P09RIK,
2010111I01RIK,
2010300C02RIK,
2010305A19RIK,
2010315B03RIK,
2010320M18RIK,
2010321M09RIK,
2200002D01RIK,LPS Response
2200002J24RIK,
2200002K05RIK,
2210009G21RIK,LPS Response
2210010C04RIK,
2210010C17RIK,
2210012G02RIK,
2210013O21RIK,
2210015D19RIK,
2210016F16RIK,
2210016L21RIK,
2210018M11RIK,
2210020M01RIK,
2210021J22RIK,
2210023G05RIK,
2210403K04RIK,
2210404O07RIK,
2210407C18RIK,
2210408I21RIK,
2210409E12RIK,
2210411K11RIK,
2210415F13RIK,
2210417A02RIK,
2210418O10RIK,
2300002M23RIK,
2300003K06RIK,
2300005B03RIK,
2300009A05RIK,
2310001A20RIK,
2310001K24RIK,
2310002J15RIK,
2310002L09RIK,
2310002L13RIK,
2310003C23RIK,
2310003F16RIK,
2310003H01RIK,
2310003L22RIK,
2310004I24RIK,
2310004N24RIK,
2310005G13RIK,
2310007B03RIK,
2310007L24RIK,
2310008H09RIK,
2310009B15RIK,
2310010M20RIK,
2310011J03RIK,
2310014H01RIK,
2310014L17RIK,LPS Response
2310015A10RIK,
2310016C08RIK,
2310016M24RIK,
2310021H06RIK,
2310021P13RIK,
2310022A10RIK,
2310022B05RIK,
2310028H24RIK,
2310028O11RIK,
2310030G06RIK,
2310030N02RIK,
2310033E01RIK,
2310033P09RIK,
2310034C09RIK,
2310035C23RIK,
2310035K24RIK,
2310036O22RIK,
2310037I24RIK,
2310039D24RIK,
2310039H08RIK,
2310042D19RIK,LPS Response
2310042E22RIK,
2310043J07RIK,
2310044H10RIK,
2310045N01RIK,
2310046A06RIK,
2310046K01RIK,
2310046O06RIK,
2310047B19RIK,
2310047M10RIK,
2310050B05RIK,
2310050C09RIK,
2310057J16RIK,
2310057J18RIK,
2310057M21RIK,
2310057N15RIK,
2310061C15RIK,
2310061I04RIK,
2310061J03RIK,
2310061N02RIK,
2310067B10RIK,
2310068J16RIK,
2310079F23RIK,
2310079G19RIK,
2400001E08RIK,
2400003C14RIK,
2410001C21RIK,
2410002F23RIK,
2410002I01RIK,
2410002O22RIK,
2410003K15RIK,
2410004A20RIK,
2410004B18RIK,
2410004P03RIK,
2410006H16RIK,
2410012M07RIK,
2410015M20RIK,
2410016O06RIK,
2410017I17RIK,
2410018L13RIK,
2410022L05RIK,
2410022M11RIK,
2410042D21RIK,
2410066E13RIK,
2410075B13RIK,
2410076I21RIK,
2410089E03RIK,
2410091C18RIK,
2410127L17RIK,
2410131K14RIK,
2410137F16RIK,
2410137M14RIK,
2500003M10RIK,
2510002D24RIK,
2510003E04RIK,
2510006D16RIK,
2510009E07RIK,
2510012J08RIK,
2510039O18RIK,
2510049J12RIK,
2610001J05RIK,
2610002D18RIK,
2610002J02RIK,
2610002M06RIK,
2610008E11RIK,
2610015P09RIK,
2610017I09RIK,
2610018G03RIK,
2610019F03RIK,
2610020H08RIK,
2610021K21RIK,
2610024G14RIK,
2610027L16RIK,
2610028E06RIK,
2610028H24RIK,
2610029G23RIK,
2610029I01RIK,
2610034B18RIK,
2610034M16RIK,
2610035D17RIK,
2610039C10RIK,
2610042L04RIK,
2610044O15RIK,
2610100L16RIK,
2610101N10RIK,
2610109H07RIK,
2610203C20RIK,
2610203C22RIK,
2610204G22RIK,
2610301B20RIK,
2610301G19RIK,
2610305D13RIK,
2610306M01RIK,
2610318N02RIK,
2610507B11RIK,
2610524H06RIK,
2610528E23RIK,
2610528J11RIK,
2700007P21RIK,
2700023E23RIK,
2700029M09RIK,
2700046A07RIK,
2700046G09RIK,
2700049A03RIK,
2700050L05RIK,
2700060E02RIK,
2700062C07RIK,
2700078E11RIK,
2700078K21RIK,
2700081O15RIK,
2700086A05RIK,
2700089E24RIK,
2700094K13RIK,
2700097O09RIK,
2700099C18RIK,
2810001G20RIK,
2810002D19RIK,
2810002N01RIK,
2810004N23RIK,
2810006K23RIK,
2810007J24RIK,
2810008D09RIK,
2810008M24RIK,
2810021B07RIK,
2810021J22RIK,
2810025M15RIK,
2810026P18RIK,
2810030E01RIK,
2810032G03RIK,
2810046L04RIK,
2810047C21RIK1,
2810055F11RIK,
2810403D21RIK,
2810405F15RIK,
2810405K02RIK,
2810407C02RIK,
2810408A11RIK,
2810408M09RIK,
2810410L24RIK,
2810417H13RIK,
2810422J05RIK,
2810422O20RIK,
2810428I15RIK,
2810429I04RIK,
2810432D09RIK,
2810432L12RIK,
2810433D01RIK,
2810433K01RIK,
2810453I06RIK,
2810454H06RIK,
2810459M11RIK,
2810474O19RIK,LPS Response
2900002K06RIK,
2900005J15RIK,
2900006K08RIK,
2900010J23RIK,
2900010M23RIK,
2900011O08RIK,
2900026A02RIK,
2900041M22RIK,
2900052N01RIK,
2900053A13RIK,
2900060B14RIK,
2900062L11RIK,
2900064A13RIK,
2900073G15RIK,
2900079G21RIK,
2900092C05RIK,
2900092D14RIK,
2900092E17RIK,
2900097C17RIK,
3000002C10RIK,
3010026O09RIK,
3110001D03RIK,
3110001I22RIK,LPS Response
3110002H16RIK,
3110003A17RIK,
3110007F17RIK,
3110009E18RIK,
3110021A11RIK,
3110035E14RIK,
3110039M20RIK,
3110040N11RIK,
3110043O21RIK,
3110047P20RIK,
3110052M02RIK,
3110057O12RIK,
3110062M04RIK,
3110070M22RIK,
3110079O15RIK,
3110082D06RIK,
3110082I17RIK,
3110099E03RIK,
3200002M19RIK,
3230401D17RIK,
3300002A11RIK,
3300002I08RIK,
3425401B19RIK,
3632451O06RIK,
3830403N18RIK,
3830406C13RIK,
3830408C21RIK,
3830417A13RIK,
3830431G21RIK,
3930402G23RIK,
4430402I18RIK,
4631405J19RIK,
4632415K11RIK,
4632415L05RIK,
4632419I22RIK,
4632428C04RIK,
4632428N05RIK,
4632434I11RIK,
4731419I09RIK,
4732415M23RIK,
4732416N19RIK,
4732418C07RIK,
4732456N10RIK,
4732471D19RIK,
4732471J01RIK,
4831426I19RIK,
4831440E17RIK,
4832428D23RIK,
4833403I15RIK,
4833413D08RIK,
4833418N02RIK,
4833420G17RIK,
4833422C13RIK,
4833422F24RIK,
4833423E24RIK,
4833424O15RIK,
4833427G06RIK,
4833439L19RIK,
4833442J19RIK,
4921501E09RIK,
4921504E06RIK,
4921506M07RIK,
4921507P07RIK,
4921509C19RIK,
4921510H08RIK,
4921511C04RIK,
4921511C20RIK,
4921511H03RIK,
4921511M17RIK,
4921513D11RIK,
4921513D23RIK,LPS Response
4921515J06RIK,
4921517D21RIK,
4921517D22RIK,
4921517L17RIK,
4921523A10RIK,
4921524J17RIK,
4921524L21RIK,
4921528I01RIK,
4921528O07RIK,
4921530D09RIK,
4921530L21RIK,
4921531C22RIK,
4921533I20RIK,
4921536K21RIK,
4921539E11RIK,
4922501C03RIK,
4922501L14RIK,
4922502D21RIK,
4922505E12RIK,
4922505G16RIK,
4930402F06RIK,
4930402H24RIK,
4930403L05RIK,
4930403N07RIK,
4930404A10RIK,
4930404H21RIK,
4930404I05RIK,
4930404N11RIK,
4930407I10RIK,
4930408F14RIK,
4930412C18RIK,
4930412F15RIK,
4930412O13RIK,
4930415F15RIK,
4930415L06RIK,
4930415O20RIK,
4930417G10RIK,
4930417O13RIK,
4930420K17RIK,
4930422G04RIK,
4930426L09RIK,
4930427A07RIK,
4930428D18RIK,
4930428E23RIK,
4930429B21RIK,
4930429F11RIK,
4930430A15RIK,
4930430D24RIK,
4930430F08RIK,
4930431A04RIK,
4930432E11RIK,
4930432F04RIK,
4930432K09RIK,
4930432K21RIK,
4930433I11RIK,
4930433N12RIK,
4930435E12RIK,
4930441O14RIK,
4930442L01RIK,
4930443G12RIK,
4930444A02RIK,
4930444G20RIK,
4930447C04RIK,
4930448K20RIK,
4930449A18RIK,
4930449E01RIK,
4930449I24RIK,
4930451C15RIK,
4930451I11RIK,
4930452B06RIK,
4930453N24RIK,
4930455C21RIK,
4930455F23RIK,
4930458L03RIK,
4930465K10RIK,
4930467E23RIK,
4930468A15RIK,
4930469G21RIK,
4930470P17RIK,
4930471G03RIK,
4930471M23RIK,
4930473A06RIK,
4930474M22RIK,
4930474N05RIK,
4930479M11RIK,
4930480E11RIK,
4930481A15RIK,
4930483J18RIK,
4930485B16RIK,
4930486L24RIK,
4930488L21RIK,
4930502E18RIK,
4930503B20RIK,
4930503E14RIK,
4930503E24RIK,
4930503H13RIK,
4930503L19RIK,
4930504O13RIK,
4930505A04RIK,
4930506M07RIK,
4930507D05RIK,
4930511I11RIK,
4930511M06RIK,
4930511M11RIK,
4930512B01RIK,
4930512M02RIK,
4930513N10RIK,
4930515G01RIK,
4930515G16RIK,
4930519F09RIK,
4930519F16RIK,
4930519G04RIK,
4930521A18RIK,
4930522H14RIK,
4930523C07RIK,LPS Response
4930524B15RIK,
4930524E20RIK,
4930525F21RIK,
4930526D03RIK,
4930526I15RIK,
4930528A17RIK,
4930528F23RIK,
4930529C04RIK,
4930529F22RIK,
4930529M08RIK,
4930534B04RIK,
4930538K18RIK,
4930539E08RIK,
4930539J05RIK,
4930542N07RIK,
4930544D05RIK,
4930544G11RIK,
4930544O15RIK,
4930546H06RIK,
4930547C10RIK,
4930547N16RIK,
4930548H24RIK,
4930549C01RIK,
4930550C14RIK,
4930550L24RIK,
4930555G01RIK,
4930555I21RIK,
4930557A04RIK,
4930558C23RIK,
4930562C15RIK,
4930562F07RIK,
4930563D23RIK,
4930563E22RIK,
4930564B18RIK,
4930567H12RIK,
4930567H17RIK,
4930568D16RIK,
4930571K23RIK,
4930572J05RIK,
4930578C19RIK,
4930578G10RIK,
4930578I06RIK,
4930578N16RIK,
4930579C15RIK,
4930579F01RIK,
4930579G22RIK,
4930579G24RIK,
4930579J09RIK,
4930581F22RIK,
4930583H14RIK,
4930583K01RIK,
4930584F24RIK,
4930588N13RIK,
4930590J08RIK,
4930592I03RIK,
4930594C11RIK,
4930595M18RIK,
4930596D02RIK,
4931406B18RIK,
4931406C07RIK,
4931406H21RIK,
4931406P16RIK,
4931407G18RIK,
4931408A02RIK,
4931408C20RIK,
4931414P19RIK,
4931417E11RIK,
4931417G12RIK,
4931423N10RIK,
4931428F04RIK,
4931428L18RIK,
4931429I11RIK,
4931429L15RIK,
4931431F19RIK,
4931440F15RIK,
4931440L10RIK,
4931440P22RIK,
4932411E22RIK,
4932411G14RIK,
4932411N23RIK,
4932412H11RIK,
4932414J04RIK,
4932414N04RIK,
4932415G12RIK,
4932415M13RIK,
4932416H05RIK,
4932418E24RIK,
4932425I24RIK,
4932429P05RIK,
4932435O22RIK,
4932438A13RIK,
4932438H23RIK,
4932441B19RIK,
4932441J04RIK,
4932442L08RIK,
4932443I19RIK,
4933400A11RIK,
4933400C05RIK,
4933400F21RIK,
4933401B06RIK,
4933402E13RIK,
4933402J07RIK,
4933402N03RIK,
4933402N22RIK,
4933402P03RIK,
4933403F05RIK,
4933403G14RIK,
4933403O08RIK,
4933404M02RIK,
4933404O12RIK,
4933405L10RIK,
4933405O20RIK,
4933406F09RIK,
4933406I18RIK,
4933406J08RIK,
4933406K04RIK,
4933406M09RIK,
4933407C03RIK,
4933407H18RIK,
4933407K13RIK,
4933407L21RIK,
4933407P14RIK,
4933408B17RIK,
4933409G03RIK,
4933409K07RIK,
4933411G11RIK,
4933411K16RIK,
4933411K20RIK,
4933412E24RIK,
4933413G19RIK,
4933415F23RIK,
4933416C03RIK,
4933416I08RIK,
4933417A18RIK,
4933417G07RIK,
4933421E11RIK,
4933421I07RIK,
4933421O10RIK,
4933422H20RIK,
4933424B01RIK,
4933425L06RIK,
4933425O20RIK,
4933426I21RIK,
4933426M11RIK,
4933427D06RIK,
4933427D14RIK,
4933427E11RIK,
4933427G17RIK,
4933429O19RIK,
4933430H15RIK,
4933430I17RIK,
4933431E20RIK,
4933432B09RIK,
4933432I09RIK,
4933433C11RIK,
4933433P14RIK,
4933434E20RIK,
4933434I20RIK,
4933436C20RIK,
4933436I01RIK,
4933437F05RIK,
4933439C10RIK,
4933439F18RIK,
5031410I06RIK,
5031414D18RIK,
5031425F14RIK,
5031426D15RIK,
5031434O11RIK,
5031439G07RIK,
5033404E19RIK,
5033406O09RIK,
5033411D12RIK,
5033414D02RIK,
5033421C21RIK,
5133401N09RIK,
5330413P13RIK,
5330417C22RIK,
5330426P16RIK,
5330429B09RIK,
5330434G04RIK,
5330437I02RIK,
5330439B14RIK,
5430401F13RIK,
5430402E10RIK,
5430402O13RIK,
5430405G05RIK,
5430405H02RIK,
5430407P10RIK,
5430411K18RIK,
5430413K10RIK,
5430416N02RIK,
5430416O09RIK,
5430417L22RIK,
5430419D17RIK,
5430427O19RIK,
5430437P03RIK,
5530400C23RIK,
5530601H04RIK,
5730403B10RIK,
5730409E04RIK,
5730416F02RIK,
5730422E09RIK,
5730437N04RIK,
5730446D14RIK,
5730455O13RIK,
5730455P16RIK,
5730469M10RIK,
5730494M16RIK,
5730494N06RIK,
5730507C01RIK,
5730508B09RIK,LPS Response
5730522E02RIK,
5730528L13RIK,
5730559C18RIK,
5730577I03RIK,
5730590G19RIK,
5830403L16RIK,
5830405F06RIK,
5830405N20RIK,
5830411N06RIK,
5830415F09RIK,
5830416P10RIK,
5830418K08RIK,
5830427D03RIK,
5830432E09RIK,
5830433M19RIK,
5930403L14RIK,
5930412G12RIK,
5930416I19RIK,
5930434B04RIK,
6030405A18RIK,
6030408B16RIK,
6030419C18RIK,
6030422M02RIK,
6030429G01RIK,
6030446N20RIK,
6030458C11RIK,
6030468B19RIK,
6030498E09RIK,
6230409E13RIK,
6230427J02RIK,
6330403A02RIK,
6330403K07RIK,
6330406I15RIK,
6330407A03RIK,
6330407J23RIK,
6330408A02RIK,
6330409N04RIK,LPS Response
6330416G13RIK,
6330439K17RIK,
6330503K22RIK,
6330512M04RIK,LPS Response
6330527O06RIK,
6330545A04RIK,
6330549D23RIK,
6330577E15RIK,
6330578E17RIK,
6430411K18RIK,
6430527G18RIK,
6430531B16RIK,
6430548M08RIK,
6430550D23RIK,
6430562O15RIK,
6430571L13RIK,
6430598A04RIK,
6430704M03RIK,
6530401N04RIK,
6530411M01RIK,
6530418L21RIK,
6720401G13RIK,
6720456B07RIK,
6720463M24RIK,
6720489N17RIK,
6820408C15RIK,
6820431F20RIK,
6D,
7420426K07RIK,
7420461P10RIK,
7530420F21RIK,
8030462N17RIK,
8430406I07RIK,
8430408G22RIK,
8430410A17RIK,
8430410K20RIK,
8430419L09RIK,
8430427H17RIK,
8430429K09RIK,
8430431K14RIK,
