,gene_category
AK139826,
AK139864,
AK139882,
AK139889,
AK139890,
AK139999,
AK140017,
AK140049,
AK140072,
AK140090,
AK140147,
AK140161,
AK140192,
AK140218,
AK140221,
AK140265,
AK140292,
AK140358,
AK140370,
AK140437,
AK140446,
AK140547,
AK140580,
AK140583,
AK140632,
AK140724,
AK140896,
AK140919,
AK141015,
AK141187,
AK141205,
AK141396,
AK141411,
AK141527,
AK141540,
AK141565,
AK141659,LPS Response
AK141672,
AK141725,
AK141748,
AK142074,
AK142077,
AK142161,
AK142359,
AK142386,
AK142406,
AK142431,
AK142467,
AK142602,
AK142614,
AK142627,
AK142664,
AK142678,LPS Response
AK142681,
AK142847,
AK142879,LPS Response
AK142949,
AK142995,
AK143085,
AK143102,
AK143160,
AK143195,
AK143234,
AK143260,
AK143305,
AK143758,
AK143760,
AK143784,
AK143813,
AK143833,
AK143856,
AK143902,
AK143926,
AK143934,
AK143952,
AK143957,
AK143961,
AK143968,
AK143982,
AK144055,
AK144087,
AK144104,
AK144120,
AK144143,
AK144172,
AK144265,
AK144266,
AK144267,
AK144274,
AK144295,
AK144297,
AK144329,
AK144330,
AK144366,
AK144367,
AK144388,
AK144477,
AK144545,
AK144571,
AK144610,
AK144617,
AK144624,
AK144626,
AK144632,
AK144662,
AK144664,
AK144695,
AK144724,
AK144747,
AK144771,
AK144798,
AK144834,
AK144843,
AK144847,
AK144859,
AK144862,
AK144870,
AK144882,
AK144886,
AK144897,
AK144912,
AK144962,
AK144984,
AK145095,
AK145113,
AK145129,
AK145139,
AK145144,
AK145161,
AK145172,
AK145215,
AK145231,
AK145253,LPS Response
AK145276,
AK145301,
AK145303,
AK145307,
AK145310,
AK145334,
AK145340,
AK145360,
AK145395,
AK145430,
AK145433,
AK145464,
AK145481,
AK145489,
AK145533,
AK145544,
AK145597,
AK145614,
AK145828,
AK146025,
AK146139,
AK146146,
AK146150,
AK146160,
AK146183,
AK146213,
AK146230,
AK146255,
AK146386,
AK146407,
AK146690,
AK146694,
AK146748,
AK146861,
AK146888,
AK146937,
AK146979,
AK147021,
AK147070,
AK147071,
AK147079,
AK147121,
AK147796,
AK148130,
AK148204,
AK148313,
AK148321,
AK148373,
AK148391,
AK148461,
AK149000,
AK149132,
AK149188,
AK149205,
AK149260,
AK149278,
AK149279,
AK149307,
AK149321,
AK149394,
AK149453,
AK149537,
AK150110,
AK150172,
AK150199,
AK150559,
AK151815,LPS Response
AK152437,
AK153014,
AK153212,
AK153351,
AK153534,
AK153575,
AK153584,
AK153645,
AK153660,
AK153727,
AK154184,
AK154190,
AK154225,
AK154275,
AK154406,
AK154427,
AK154587,
AK154631,
AK154635,
AK154735,
AK154977,
AK155068,
AK155141,
AK155169,
AK155239,LPS Response
AK155489,
AK155516,
AK155560,
AK155734,
AK155839,
AK155877,
AK156148,
AK156427,
AK156477,
AK156636,
AK156678,
AK156771,
AK156859,
AK156902,LPS Response
AK156967,
AK156980,
AK157456,
AK157531,
AK157632,LPS Response
AK157795,
AK157878,
AK157916,
AK158083,
AK158148,
AK158152,
AK158157,
AK158189,
AK158291,
AK158295,
AK158434,
AK158473,
AK158482,
AK158547,
AK158612,
AK158619,
AK158658,
AK158810,
AK158926,
AK158929,
AK158973,
AK158974,
AK159003,
AK159035,
AK159351,
AK160141,
AK160158,
AK160260,
AK160416,
AK160548,
AK160668,
AK160850,
AK160921,
AK161355,
AK161361,
AK161362,LPS Response
AK161402,
AK161406,
AK161424,
AK161589,
AK161590,
AK161599,
AK161639,
AK161769,
AK162138,
AK162140,
AK162144,
AK162351,
AK162363,
AK162386,
AK162388,
AK162496,
AK162519,
AK162666,
AK162774,
AK162833,
AK162870,
AK162965,
AK163099,
AK163103,LPS Response
AK163121,
AK163151,
AK163153,
AK163160,
AK163289,
AK163292,
AK163331,LPS Response
AK163333,
AK163440,
AK163532,
AK163667,
AK163681,
AK163711,
AK163775,
AK164126,
AK164218,
AK164315,
AK164331,
AK164836,
AK164875,
AK165205,
AK165297,
AK165329,
AK165338,
AK165366,
AK165443,
AK165489,
AK165607,
AK165697,
AK165776,
AK165802,
AK165854,
AK166041,
AK166079,
AK166159,
AK166404,
AK166469,
AK166554,
AK166708,
AK166773,
AK166824,
AK166895,
AK167556,
AK167606,
AK167957,
AK168184,
AK168746,
AK168860,
AK169220,
AK169506,
AK169507,
AK169509,
AK169831,
AK170112,
AK170353,
AK170409,LPS Response
AK170837,
AK170868,
AK171153,
AK171159,
AK171183,
AK171764,
AK171953,
AK171960,
AK171985,
AK172386,
AK172428,
AK172459,
AK172630,
AK172672,
AK172683,LPS Response
AK177174,
AK177731,
AK178082,
AK178359,
AK178429,
AK179786,
AK180712,
AK180939,
AK181631,
AK181830,
AK182695,
AK182874,
AK182887,
AK183258,
AK183458,
AK183986,
AK184121,
AK184603,
AK184713,
AK185530,
AK185681,
AK185910,
AK186650,
AK187054,
AK188430,
AK188772,
AK188812,
AK189432,
AK189470,
AK189601,
AK190465,
AK191411,
AK191498,
AK191723,
AK192194,
AK192544,
AK192647,
AK192827,
AK192985,
AK193394,
AK194005,
AK194036,
AK194371,
AK195420,
AK195428,
AK195755,
AK195788,
AK195902,
AK195979,
AK196015,
AK196141,
AK196542,
AK196959,
AK197526,
AK197782,
AK198984,
AK199184,
AK199258,
AK199495,
AK199694,
AK199756,
AK2,
AK200207,
AK200600,
AK200837,
AK201601,
AK202078,LPS Response
AK202301,
AK202488,
AK202494,
AK202543,
AK202580,
AK202663,LPS Response
AK203140,
AK203176,
AK203628,
AK203706,
AK203938,
AK204095,
AK204212,
AK204365,
AK204443,
AK204799,LPS Response
AK204824,
AK204918,
AK205147,
AK205190,
AK205332,
AK205379,
AK205396,
AK205936,
AK206655,
AK206687,
AK206780,
AK206940,
AK207024,
AK207408,
AK207593,
AK207688,
AK207899,
AK208354,
AK208404,
AK208460,
AK208554,
AK209396,
AK209590,
AK209647,
AK209715,
AK209885,
AK210533,
AK211336,
AK211473,
AK211659,
AK212603,
AK212710,
AK212965,
AK213166,
AK213200,
AK213404,
AK213609,
AK213636,
AK213652,
AK213749,
AK213775,
AK214072,
AK214167,
AK214332,
AK214371,
AK214451,
AK214512,
AK214641,
AK215081,
AK215237,
AK215506,
AK215526,
AK215842,
AK216043,
AK216440,
AK216443,
AK216459,
AK216578,
AK216819,
AK216824,
AK216857,
AK216920,
AK217047,
AK217604,
AK217757,
AK217854,
AK217863,LPS Response
AK217941,
AK217986,
AK218226,
AK218261,
AK218282,
AK218396,
AK218399,
AK219036,
AK219219,
AK219629,
AK219638,
AK219843,
AK220016,
AK220028,
AK220484,
AK3,
AK4,
AK5,
AK7,
AK8,
AKAP1,
AKAP10,
AKAP11,
AKAP12,LPS Response
AKAP13,
AKAP14,
AKAP17B,
AKAP3,
AKAP4,
AKAP5,
AKAP6,
AKAP7,
AKAP8,
AKAP8L,
AKAP9,
AKIRIN1,
AKIRIN2,
AKNA,
AKNAD1,
AKP3,
AKR1A4,
AKR1B10,
AKR1B3,
AKR1B7,
AKR1B8,
AKR1C12,
AKR1C13,
AKR1C14,
AKR1C18,
AKR1C19,
AKR1C20,
AKR1C21,
AKR1C6,
AKR1CL,
AKR1D1,
AKR1E1,
AKR7A5,
AKT1,
AKT1S1,
AKT2,
AKT3,LPS Response
AKTIP,
ALAD,
ALAS1,
ALAS2,
ALB,
ALCAM,LPS Response
ALDH16A1,
ALDH18A1,
ALDH1A1,
ALDH1A2,LPS Response
ALDH1A3,
ALDH1A7,
ALDH1B1,LPS Response
ALDH1L1,
ALDH1L2,
ALDH2,
ALDH3A1,
ALDH3A2,
ALDH3B1,
ALDH3B2,
ALDH4A1,
ALDH5A1,
ALDH6A1,
ALDH7A1,
ALDH8A1,
ALDH9A1,
ALDOA,
ALDOART1,
ALDOB,
ALDOC,
ALG1,
ALG10B,
ALG11,
ALG12,
ALG13,
ALG14,
ALG2,
ALG3,
ALG5,
ALG6,
ALG8,
ALG9,
ALK,
ALKBH1,
ALKBH2,
ALKBH3,
ALKBH4,
ALKBH5,
ALKBH6,
ALKBH7,
ALKBH8,
ALLC,
ALMS1,
ALOX12,
ALOX12B,
ALOX12E,
ALOX15,
ALOX5,
ALOX5AP,
ALOX8,
ALOXE3,
ALPHA1B,
ALPI,
ALPK1,
ALPK2,LPS Response
ALPK3,
ALPL,
ALPPL2,
ALS2,
ALS2CL,
ALS2CR11,
ALS2CR12,
ALS2CR4,
ALX1,
ALX3,
ALX4,
AM295304,
AMAC1,
AMACR,
AMBN,
AMBP,
AMBRA1,
AMD2,
AMDHD1,
AMDHD2,
AMELX,
AMFR,
AMH,
AMHR2,
AMICA1,
AMIGO1,
AMIGO2,
AMIGO3,LPS Response
AMMECR1,
AMMECR1L,
AMN,
AMN1,
AMOT,
AMOTL1,
AMOTL2,
AMPD1,
AMPD2,
AMPD3,
AMPH,
AMT,
AMTN,
AMY1,
AMY2A5,
AMY2B,
AMZ1,
AMZ2,
ANAPC1,
ANAPC10,
ANAPC11,
ANAPC13,
ANAPC16,
ANAPC2,
ANAPC4,
ANAPC5,
ANAPC7,
ANG,
ANG2,
ANG4,
ANG5,
ANG6,
ANGEL1,
ANGEL2,
ANGPT1,LPS Response
ANGPT2,
ANGPT4,
ANGPTL1,
ANGPTL2,
ANGPTL3,
ANGPTL4,
ANGPTL6,
ANGPTL7,
ANK,
ANK1,
ANK2,
ANK3,
ANKAR,
ANKDD1B,
ANKFN1,
ANKFY1,
ANKHD1,
ANKK1,
ANKLE1,
ANKLE2,
ANKMY1,
ANKMY2,
ANKRA2,
ANKRD1,
ANKRD10,
ANKRD11,
ANKRD12,
ANKRD13A,
ANKRD13B,
ANKRD13C,
ANKRD13D,
ANKRD16,
ANKRD17,LPS Response
ANKRD2,
ANKRD22,
ANKRD23,
ANKRD24,
ANKRD26,
ANKRD27,
ANKRD28,
ANKRD29,
ANKRD32,
ANKRD33,
ANKRD33B,LPS Response
ANKRD34A,
ANKRD34B,
ANKRD34C,
ANKRD35,
ANKRD36,
ANKRD37,
ANKRD39,
ANKRD40,
ANKRD42,
ANKRD43,
ANKRD44,
ANKRD45,
ANKRD46,
ANKRD49,
ANKRD5,
ANKRD50,
ANKRD52,
ANKRD53,
ANKRD54,
ANKRD55,
ANKRD56,
ANKRD57,
ANKRD58,
ANKRD6,
ANKRD60,
ANKRD61,
ANKRD7,
ANKRD9,
ANKS1,
ANKS1B,
ANKS3,
ANKS4B,
ANKS6,
ANKZF1,
ANLN,
ANMKRN1,
ANO1,
ANO10,
ANO2,
ANO3,
ANO4,
ANO5,
ANO6,
ANO7,
ANO8,
ANO9,
ANP32A,
ANP32B,
ANP32E,
ANPEP,
ANTXR2,
ANTXRL,
ANUBL1,
ANXA1,
ANXA10,
ANXA11,
ANXA13,
ANXA2,
ANXA3,
ANXA4,
ANXA5,
ANXA6,
ANXA7,LPS Response
ANXA8,
ANXA9,
AOAH,LPS Response
AOC2,
AOC3,
AOX1,
AOX3,
AOX3L1,
AOX4,
AP1AR,
AP1B1,
AP1G1,
AP1G2,
AP1M1,
AP1M2,
AP1S1,
AP1S2,
AP1S3,
AP2A1,
AP2B1,
AP2M1,
AP2S1,
AP3B1,
AP3B2,
AP3D1,
AP3M1,
AP3M2,LPS Response
AP3S1,
AP3S2,
AP4B1,
AP4E1,
AP4M1,
AP4S1,
APAF1,
APBA1,
APBA2,
APBA3,
APBB1,
APBB1IP,
APBB2,LPS Response
APBB3,
APBH,
APC,
APC2,
APCDD1,
APCS,
APEG3,
APEH,
APEX1,
APEX2,
APG-1B,
APG16L,
APH1A,
APH1C,
API5,
APIP,
APITD1,
APLF,
APLN,
APLNR,
APLP1,
APLP2,
APOA1,
APOA1BP,
APOA2,
APOA4,
APOA5,
APOB,
APOB48R,
APOBEC1,
APOBEC2,
APOBEC3,
APOBEC4,
APOC1,
APOC2,
APOC3,
APOC4,
APOD,
APOE,
APOF,
APOH,
APOL10A,
APOL10B,
APOL11A,
APOL11B,
APOL6,
APOL7A,
APOL7B,
APOL7C,LPS Response
APOL7E,
APOL8,
APOL9A,LPS Response
APOL9B,LPS Response
APOLD1,
APOM,
APON,
APOO,
APOOL,
APP,
APPBP2,
APPL1,
APPL2,
41367,
APRT,
APTX,
AQP1,
AQP11,
AQP12,
AQP2,
AQP3,
AQP4,
AQP5,
AQP6,
AQP7,
AQP8,
AQP9,
AQR,
AR,
ARAF,
ARAP1,
ARAP2,
ARAP3,
ARC,
ARCN1,
AREG,LPS Response
ARF1,
ARF2,
ARF3,
ARF4,LPS Response
ARF5,
ARF6,
ARFGAP1,
ARFGAP2,
ARFGAP3,
ARFGEF1,
ARFGEF2,
ARFGEF3,
ARFIP1,
ARFIP2,
ARFRP1,
ARG1,
ARG2,LPS Response
ARGLU1,
ARHGAP1,
ARHGAP10,
ARHGAP11A,
ARHGAP12,
ARHGAP15,
ARHGAP17,
ARHGAP18,
ARHGAP19,
ARHGAP20,
ARHGAP21,
ARHGAP22,
ARHGAP23,
ARHGAP24,
ARHGAP25,
ARHGAP26,
ARHGAP27,
ARHGAP28,LPS Response
ARHGAP29,
ARHGAP30,
ARHGAP31,
ARHGAP32,
ARHGAP33,
ARHGAP36,
ARHGAP39,
ARHGAP4,
ARHGAP40,
ARHGAP42,
ARHGAP44,
ARHGAP5,
ARHGAP6,
ARHGAP8,
ARHGAP9,
ARHGDIA,
ARHGDIB,
ARHGDIG,
ARHGEF1,
ARHGEF10,
ARHGEF10L,
ARHGEF11,
ARHGEF12,
ARHGEF15,
ARHGEF16,
ARHGEF17,
ARHGEF18,
ARHGEF19,
ARHGEF2,
ARHGEF25,
ARHGEF26,
ARHGEF3,LPS Response
ARHGEF33,
ARHGEF37,LPS Response
ARHGEF38,
ARHGEF5,
ARHGEF6,
ARHGEF7,
ARHGEF9,
ARID1A,
ARID1B,
ARID2,
ARID3A,
ARID3B,
ARID3C,
ARID4A,
ARID4B,
ARID5A,LPS Response
ARID5B,LPS Response
ARIH1,
ARIH2,
ARKADIA,
ARL1,
ARL10,
ARL11,
ARL13A,
ARL13B,
ARL14,
ARL15,
ARL16,
ARL2,
ARL2BP,
ARL3,
ARL4A,
ARL4C,
ARL4D,
ARL5A,
ARL5B,LPS Response
ARL5C,LPS Response
ARL6,
ARL6IP1,
ARL6IP4,
ARL6IP5,
ARL6IP6,
ARL8A,
ARL8B,
ARL9,
ARMC1,
ARMC10,
ARMC2,
ARMC3,
ARMC4,
ARMC5,
ARMC6,
ARMC7,
ARMC8,LPS Response
ARMC9,
ARMCX1,
ARMCX2,
ARMCX3,
ARMCX4,
ARMCX5,
ARMCX6,LPS Response
ARNT,
ARNT2,
ARNTL,
ARNTL2,
ARPC1A,
ARPC1B,
ARPC2,
ARPC3,
ARPC4,
ARPC5,
ARPC5L,
ARPM1,
ARPP19,
ARPP21,
ARR3,
ARRB1,
ARRB2,
ARRDC1,
ARRDC2,
ARRDC4,
ARRDC5,
ARSA,
ARSB,
ARSG,
ARSI,
ARSJ,
ARSK,
ART1,
ART2A,
ART2B,LPS Response
ART3,
ART4,
ART5,
ARTN,
ARV1,
ARVCF,
ARX,
AS3MT,
ASAH1,
ASAH2,LPS Response
ASAP1,
ASAP2,
ASAP3,LPS Response
ASB1,
ASB10,
ASB11,LPS Response
ASB12,
ASB13,LPS Response
ASB14,
ASB15,
ASB16,
ASB17,
ASB18,
ASB2,
ASB3,
ASB4,
ASB5,
ASB6,
ASB7,
ASB8,
ASB9,
ASCC1,
ASCC2,
ASCC3,LPS Response
ASCL1,
ASCL2,
ASCL3,
ASCL4,
ASF1A,
ASF1B,
ASGR1,
ASGR2,
ASH1L,
ASH2L,
ASL,
ASNA1,
ASNS,
ASNSD1,
ASPA,
ASPAX1,
ASPDH,
ASPG,
ASPH,
ASPHD1,
ASPHD2,
ASPM,
ASPN,
ASPRV1,
ASPSCR1,
ASRGL1,
ASS1,
ASTE1,
ASTL,
ASTN1,
ASTN2,
ASXL1,
ASXL2,
ASXL3,
ASZ1,
ATAD1,
ATAD2,
ATAD2B,
ATAD3A,
ATAD5,
ATAT1,
ATCAY,
ATE1,
ATF1,
ATF2,
ATF3,LPS Response
ATF4,
ATF5,
ATF6,
ATF6B,
ATF7,
ATF7IP,
ATF7IP2,
ATG10,
ATG12,
ATG13,
ATG14,
ATG16L2,
ATG2A,
ATG2B,
ATG3,
ATG4A,
ATG4B,
ATG4C,
ATG4D,
ATG5,
ATG7,
ATG9A,
ATG9B,
ATHL1,
ATIC,
ATL1,
ATL2,
ATL3,
ATM,LPS Response
ATMIN,
ATN1,
ATOH1,
ATOH7,
ATOH8,
ATOX1,
ATP10A,LPS Response
ATP10B,
ATP10D,
ATP11A,
ATP11B,
ATP11C,
ATP12A,
ATP13A1,
ATP13A2,
ATP13A3,
ATP13A4,LPS Response
ATP13A5,
ATP1A1,
ATP1A2,
ATP1A3,
ATP1A4,
ATP1B1,
ATP1B2,
ATP1B3,
ATP1B4,
ATP2A1,
ATP2A2,
ATP2A3,
ATP2B1,
ATP2B2,
ATP2B3,
ATP2B4,
ATP2C1,
ATP2C2,
ATP4A,
ATP4B,
ATP5A1,
ATP5B,
ATP5C1,
ATP5D,
ATP5E,
ATP5F1,
ATP5G1,
ATP5G2,
ATP5G3,
ATP5H,
ATP5J,
ATP5J2,
ATP5K,
ATP5L,
ATP5O,
ATP5S,
ATP5SL,
ATP6AP1,
ATP6AP1L,
ATP6AP2,
ATP6V0A1,
ATP6V0A2,
ATP6V0A4,
ATP6V0B,
ATP6V0C,
ATP6V0D1,
ATP6V0D2,
ATP6V0E,
ATP6V0E2,
ATP6V1A,
ATP6V1B1,
ATP6V1B2,
ATP6V1C1,
ATP6V1C2,
ATP6V1D,
ATP6V1E1,
ATP6V1E2,
ATP6V1F,
ATP6V1G1,
ATP6V1G2,
ATP6V1G3,
ATP6V1H,
ATP7A,
ATP7B,
ATP8A1,
ATP8A2,
ATP8B1,
ATP8B2,
ATP8B3,
ATP8B4,
ATP8B5,
ATP9A,
ATP9B,
ATPAF1,
ATPAF2,
ATPASE6,
ATPBD4,
ATPIF1,
ATR,
ATRIP,
ATRN,
ATRNL1,
ATRX,
ATXN1,
ATXN10,
ATXN1L,
ATXN2,
ATXN2L,
ATXN3,
ATXN7,
ATXN7L1,
ATXN7L2,
ATXN7L3,
ATXN7L3B,
AU015228,
AU015836,
AU018091,
AU018829,
AU019823,
AU019990,
AU021034,
AU021092,
AU022252,
AU022751,
AU023871,
AU040320,
AU041133,
AUH,
AUP1,
AURKA,
AURKAIP1,
AURKB,
AURKC,
AUTS2,
AV249152,
AV320801,
AVEN,
AVIL,
AVP,
AVPI1,
AVPR1A,
AVPR1B,
AVPR2,
AW011738,LPS Response
AW112010,LPS Response
AW146154,
AW209491,
AW549877,
AW551984,
AW555464,
AWAT1,
AWAT2,
AXIN1,
AXIN2,
AXL,
AY026312,
AY074887,
AY096003,LPS Response
AY139115,
AY358078,
AY512908,
AY512909,
AY512912,
AY512915,
AY512917,
AY512931,
AY512943,
AY672066,
AY761184,
AY761185,
AYM1,
AZGP1,
AZI1,
AZI2,LPS Response
AZIN1,
B020004J07RIK,
B020018G12RIK,
B020031M17RIK,
B130006D01RIK,
B230118H07RIK,
B230120H23RIK,
B230206F22RIK,
B230206H07RIK,
B230208H17RIK,
B230217C12RIK,
B230219D22RIK,
B230307C23RIK,
B230312A22RIK,
B230315N10RIK,
B230319C09RIK,
B230339M05RIK,
B230354K17RIK,
B2M,Housekeeping
B330016D10RIK,
B3GALNT1,
B3GALT1,
B3GALT2,
B3GALT4,
B3GALT5,
B3GALT6,
B3GALTL,
B3GAT1,
B3GAT2,
B3GAT3,
B3GNT1,
B3GNT2,LPS Response
B3GNT3,
B3GNT4,
B3GNT5,
B3GNT6,
B3GNT7,
B3GNT8,
B3GNT9-PS,
B3GNTL1,
B430010I23RIK,
B430203M17RIK,
B430212C06RIK,
B430306N03RIK,
B430319G15RIK,
B4GALNT1,
B4GALNT2,
B4GALNT3,
B4GALNT4,
B4GALT1,
B4GALT2,
B4GALT3,
B4GALT4,
B4GALT5,LPS Response
B4GALT6,
B4GALT7,
B630005N14RIK,
B630019K06RIK,
B830017H08RIK,
B930003M22RIK,
B930007M17RIK,
B930041F14RIK,
B930059L03RIK,
B9D1,
B9D2,
BAALC,
BAAT,
BACE1,
BACE2,
BACH1,
BACH2,
BAD,
BAG1,
BAG2,
BAG3,
BAG4,
BAG5,
BAHCC1,
BAHD1,
BAI1,
BAI2,
BAI3,
BAIAP2,
BAIAP2L1,
BAIAP2L2,
BAIAP3,
BAK1,
BAMBI,
BAMBI-PS1,LPS Response
BANF1,
BANF2,
BANK1,
BANP,
BAP1,
BARD1,
BARHL1,
BARHL2,
BARX1,
BARX2,
BASP1,
BAT1A,
BAT2D,
BAT3,
BATF,LPS Response
BATF2,LPS Response
BATF3,
BAX,
BAZ1A,
BAZ1B,
BAZ2B,
BB014433,
BB019430,
BB031773,
BB123696,
BB287469,
BBC3,
BBIP1,
BBOX1,
BBS1,
BBS10,
BBS12,
BBS2,
BBS4,
BBS5,
BBS7,
BBS9,
BBX,LPS Response
BC002163,
BC002221,
BC002230,
BC003266,
BC003331,
BC003348,
BC003965,
BC004004,
BC005537,
BC005561,
BC005624,
BC005764,
BC006779,LPS Response
BC006965,
BC013529,
BC013712,LPS Response
BC014805,
BC015286,
BC016222,
BC016423,LPS Response
BC016495,
BC016548,
BC016579,
BC017158,
BC017612,
BC017643,
BC017647,
BC018465,
BC018473,
BC018507,
BC019639,
BC019681,
BC019819,
BC019943,
BC020150,
BC020402,
BC020535,
BC021614,
BC021767,
BC021785,
BC021891,
BC022687,
BC023105,LPS Response
BC023202,
BC023483,
BC023719,LPS Response
BC023814,
BC023829,
BC024139,
BC024386,
BC024479,
BC024571,
BC024582,
BC024659,
BC024814,
BC024978,
BC025067,
BC025190,
BC025446,
BC025885,
BC025920,
BC026208,
BC026439,
BC026585,
BC026590,
BC026600,
BC027072,
BC027231,
BC027344,
BC027359,
BC027544,
BC027576,
BC027664,
BC027670,
BC027685,
BC027703,
BC028528,
BC028532,
BC028808,
BC028950,
BC029214,
BC029710,
BC029722,
BC029726,
BC029853,
BC030050,
BC030307,
BC030336,
BC030398,LPS Response
BC030469,
BC030470,
BC030476,
BC030499,
BC030500,
BC030867,
BC030870,
BC031181,
BC031353,
BC031361,
BC031503,
BC031781,
BC032181,
BC032203,
BC033430,
BC033916,
BC034090,
BC035044,LPS Response
BC035532,
BC035947,
BC037032,
BC037034,
BC037156,
BC037369,
BC037703,LPS Response
BC038155,
BC038278,
BC038328,
BC038474,
BC038648,
BC038927,
BC038929,
BC039791,
BC039940,
BC039997,
BC040754,
BC040804,
BC040816,
BC042407,
BC042727,
BC042782,
BC042783,
BC042789,
BC043934,
BC044745,
BC044868,
BC044870,
BC046331,
BC046404,
BC046487,
BC046508,
BC047062,
BC047216,
BC048080,
BC048355,
BC048393,
BC048403,
BC048502,
BC048507,
BC048519,
BC048546,
BC048555,
BC048559,
BC048562,
BC048584,
BC048585,
BC048599,
BC048600,
BC048601,
BC048602,
BC048609,
BC048644,
BC048662,
BC048666,
BC048671,
BC048678,
BC048679,
BC048720,
BC048731,
BC048761,
BC048764,
BC048765,
BC048766,
BC048862,
BC048943,
BC049265,
BC049352,
BC049631,
BC049635,
BC049692,
BC049715,
BC049716,
BC049717,
BC049730,
BC049735,
BC049762,
BC049805,
BC050122,
BC050140,
BC050972,
BC051019,
BC051070,
BC051142,
BC051212,
BC051516,
BC051525,
BC051537,
BC051628,
BC051665,
BC052040,
BC052688,
BC053393,
BC053749,
BC053977,
BC053978,
BC054353,
BC054394,
BC054406,
BC055004,
BC055111,
BC055324,
BC055351,
BC055402,
BC055806,
BC056163,
BC056174,
BC056189,
BC056474,
BC057022,
BC058988,
BC059025,
BC060267,
BC060302,
BC060988,
BC061194,
BC061212,
BC061237,
BC062115,
BC062254,
BC062821,
BC062895,
BC063263,
BC064078,
BC064103,
BC064118,
BC064456,
BC064714,
BC064812,
BC065048,
BC065149,
BC065397,
BC065398,
BC065403,
BC065997,
BC066135,
BC067010,
BC067033,
BC067068,
BC067074,
BC067249,
BC068157,
BC068229,
BC068281,
BC069935,
BC070425,
BC071190,
BC071238,LPS Response
BC071253,
BC072557,
BC072643,
BC075635,
BC075654,
BC075659,LPS Response
BC079612,
BC079901,
BC079904,
BC080695,
BC080696,
BC082544,
BC082591,
BC083167,
BC085231,
BC085271,
BC086315,
BC086906,
BC088983,
BC089491,
BC089597,
BC094226,
BC094334,
BC094408,
BC094633,
BC094642,
BC094916,LPS Response
BC096037,
BC096411,
BC098222,
BC099513,
BC099526,
BC099561,
BC099571,
BC099582,
BC1,
BC100417,
BC100427,
BC100451,
BC100491,
BC100494,
BC100504,
BC100510,
BC100523,
BC100524,
BC100530,
BC100534,
BC106127,
BC106167,
BC106179,
BC106814,
BC107364,
BC108272,
BC108341,LPS Response
BC114417,
BC115961,
BC116340,
BC116387,
BC117090,
BC119421,
BC125002,
BC125332,
BC126883,
BC127131,
BC128282,
BC134356,
BC141885,
BC144936,
BC145137,
BC145376,
BC145587,
BC145649,
BC147527,LPS Response
BC157982,
BCAM,
BCAN,
BCAP29,
BCAP31,
BCAR1,
BCAR3,
BCAS1,
BCAS2,
BCAS3,
BCAT1,
BCAT2,
BCCIP,
BCDIN3D,
BCHE,
BCKDHA,
BCKDHB,
BCKDK,
BCL10,
BCL11A,
BCL11B,
BCL2,
BCL2A1A,LPS Response
BCL2A1B,LPS Response
BCL2A1C,
BCL2A1D,LPS Response
BCL2L1,
BCL2L10,
BCL2L11,
BCL2L12,
BCL2L13,
BCL2L14,
BCL2L15,
BCL2L2,
BCL3,
BCL6,
BCL6B,
BCL7A,
BCL7B,
BCL7C,
BCL9,LPS Response
BCL9L,
BCLAF1,
BCLP2,
BCMO1,
BCNG-1,
BCO2,LPS Response
BCOR,
BCORL1,
BCR,
BCS1L,
BDH1,
BDH2,
BDKRB1,
BDKRB2,
BDNF,
BDP1,
BEAN1,
BECN1,
BEGAIN,
BEND3,
BEND4,
BEND5,
BEND6,
BEND7,
BEST1,
BEST2,
BEST3,
BET1,
BET1L,
BET3L,
BETA-S,
BETA3GALNACT2,
BEX1,
BEX2,
BEX4,
BEX6,
BFAR,LPS Response
BFSP1,
BFSP2,
BGLAP,
BGN,
BHLHA15,
BHLHA9,
BHLHB9,
BHLHE22,
BHLHE23,
BHLHE40,
BHLHE41,
BHMT,
BHMT2,
BICC1,
BICD1,
BICD2,
BID,
BIK,
BIN1,
BIN3,
BIRC2,
BIRC3,
BIRC5,
BIRC6,
BIRC7,
BIVM,
BLCAP,
BLES03,
BLK,
BLM,
BLMH,
BLNK,LPS Response
BLOC1S1,
BLOC1S2,
BLOC1S3,
BLVRA,
BLVRB,
BLZF1,
BMF,
BMI1,
BMP1,
BMP10,
BMP15,
BMP2,
BMP2K,
BMP3,
BMP4,
BMP5,
BMP6,
BMP7,
BMP8A,
BMP8B,
BMPER,
BMPR1A,
BMPR1B,
BMPR2,LPS Response
BMS1,
BMX,
BMYC,
BNC1,
BNC2,
BNIP2,
BNIP3,
BNIP3L,
BNIPL,
BOC,
BOD1,
BOD1L,
BOK,
BOLA1,
BOLA2,
BOLA3,
BOLL,
BOP1,
BPAG1,
BPGM,
BPHL,
BPI,
BPIL1,
BPIL2,
BPIL3,
BPNT1,
BPOZ,
BPTF,
BRAF,
BRAP,
BRCA1,
BRCA2,
BRCC3,
BRD1,
BRD2,
BRD3,
BRD4,
BRD7,
BRD8,
BRD9,
BRDT,
BRE,
BRF1,
BRF2,
BRI3,
BRI3BP,
BRIP1,
BRIX1,
BRMS1,
BRMS1L,
BRP16,
BRP44,
BRP44L,
BRPF1,
BRPF3,
BRS3,
BRSK1,
